in s,C1 in V
2.237997E+01,2.36816E-02
2.238045E+01,2.36816E-02
2.238093E+01,3.31543E-02
2.238141E+01,2.36816E-02
2.238189E+01,1.42090E-02
2.238237E+01,4.73633E-03
2.238285E+01,3.31543E-02
2.238333E+01,3.31543E-02
2.238381E+01,1.42090E-02
2.238429E+01,1.42090E-02
2.238477E+01,4.73633E-03
2.238525E+01,1.42090E-02
2.238573E+01,2.36816E-02
2.238621E+01,2.36816E-02
2.238669E+01,-4.73633E-03
2.238717E+01,3.31543E-02
2.238765E+01,2.36816E-02
2.238813E+01,3.31543E-02
2.238861E+01,3.31543E-02
2.238909E+01,2.36816E-02
2.238957E+01,1.42090E-02
2.239005E+01,1.42090E-02
2.239053E+01,3.31543E-02
2.239101E+01,2.36816E-02
2.239149E+01,2.36816E-02
2.239197E+01,2.36816E-02
2.239245E+01,2.36816E-02
2.239293E+01,4.26270E-02
2.239341E+01,1.42090E-02
2.239389E+01,-1.42090E-02
2.239437E+01,3.31543E-02
2.239485E+01,4.73633E-03
2.239533E+01,-2.36816E-02
2.239581E+01,3.31543E-02
2.239629E+01,1.42090E-02
2.239677E+01,3.31543E-02
2.239725E+01,2.36816E-02
2.239773E+01,1.42090E-02
2.239821E+01,3.31543E-02
2.239869E+01,2.36816E-02
2.239917E+01,2.36816E-02
2.239965E+01,3.31543E-02
2.240013E+01,4.73633E-03
2.240061E+01,4.73633E-03
2.240109E+01,4.73633E-03
2.240157E+01,4.73633E-03
2.240205E+01,2.36816E-02
2.240253E+01,1.42090E-02
2.240301E+01,-2.36816E-02
2.240349E+01,1.42090E-02
2.240397E+01,2.36816E-02
2.240445E+01,4.26270E-02
2.240493E+01,4.73633E-03
2.240541E+01,2.36816E-02
2.240589E+01,4.73633E-03
2.240637E+01,1.42090E-02
2.240685E+01,1.42090E-02
2.240733E+01,3.31543E-02
2.240781E+01,3.31543E-02
2.240829E+01,1.42090E-02
2.240877E+01,4.73633E-03
2.240925E+01,3.31543E-02
2.240973E+01,1.42090E-02
2.241021E+01,3.31543E-02
2.241069E+01,1.42090E-02
2.241117E+01,4.73633E-03
2.241165E+01,3.31543E-02
2.241213E+01,3.31543E-02
2.241261E+01,2.36816E-02
2.241309E+01,2.36816E-02
2.241357E+01,4.26270E-02
2.241405E+01,2.36816E-02
2.241453E+01,2.36816E-02
2.241501E+01,2.36816E-02
2.241549E+01,3.31543E-02
2.241597E+01,1.42090E-02
2.241645E+01,3.31543E-02
